Track Name,Artist,Streams,Date,code,name
Despacito - Remix,Luis Fonsi,1760399,5/11/17,us,United States
Despacito - Remix,Luis Fonsi,1759699,5/10/17,us,United States
Despacito - Remix,Luis Fonsi,1757462,5/4/17,us,United States
Mask Off,Future,1746816,4/13/17,us,United States
Mask Off,Future,1746699,4/8/17,us,United States
Despacito - Remix,Luis Fonsi,1737219,6/17/17,us,United States
Despacito - Remix,Luis Fonsi,1735369,6/15/17,us,United States
Mask Off,Future,1734353,4/14/17,us,United States
XXX. FEAT. U2.,Kendrick Lamar,1724995,4/15/17,us,United States
HUMBLE.,Kendrick Lamar,1724596,6/16/17,us,United States
LOVE. FEAT. ZACARI.,Kendrick Lamar,1722934,4/15/17,us,United States
FEAR.,Kendrick Lamar,1717540,4/14/17,us,United States
HUMBLE.,Kendrick Lamar,1716562,6/15/17,us,United States
Passionfruit,Drake,1716471,3/30/17,us,United States
Portland,Drake,1715611,3/24/17,us,United States
I'm the One,DJ Khaled,1713296,5/27/17,us,United States
Despacito - Remix,Luis Fonsi,1712370,6/23/17,us,United States
FEEL.,Kendrick Lamar,1709048,4/15/17,us,United States
Despacito - Remix,Luis Fonsi,1704878,5/8/17,us,United States
Despacito - Remix,Luis Fonsi,1692371,6/21/17,us,United States
Passionfruit,Drake,1686116,3/26/17,us,United States
Despacito - Remix,Luis Fonsi,1683559,6/20/17,us,United States
Mask Off,Future,1682053,4/21/17,us,United States
Passionfruit,Drake,1678015,3/31/17,us,United States
Shape of You,Ed Sheeran,1677614,2/17/17,us,United States
I'm the One,DJ Khaled,1667586,6/1/17,us,United States
LOVE. FEAT. ZACARI.,Kendrick Lamar,1665093,4/17/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1662945,5/12/17,us,United States
Despacito - Remix,Luis Fonsi,1661637,6/24/17,us,United States
Despacito - Remix,Luis Fonsi,1657332,6/22/17,us,United States
LOVE. FEAT. ZACARI.,Kendrick Lamar,1657317,4/18/17,us,United States
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,1655228,4/19/17,us,United States
ELEMENT.,Kendrick Lamar,1644025,4/20/17,us,United States
HUMBLE.,Kendrick Lamar,1640445,6/17/17,us,United States
PRIDE.,Kendrick Lamar,1639528,4/15/17,us,United States
Despacito - Remix,Luis Fonsi,1638831,6/19/17,us,United States
ELEMENT.,Kendrick Lamar,1638665,4/16/17,us,United States
Shape of You,Ed Sheeran,1629275,3/12/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1629100,2/4/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1618538,1/12/17,us,United States
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,1617558,6/23/17,us,United States
Mask Off,Future,1616434,4/15/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1615036,2/3/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1612659,5/26/17,us,United States
Shape of You,Ed Sheeran,1609218,2/16/17,us,United States
Shape of You,Ed Sheeran,1605245,2/15/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1604342,5/11/17,us,United States
Mask Off,Future,1603954,3/31/17,us,United States
Mask Off,Future,1600705,4/20/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1600022,1/31/17,us,United States
Mask Off,Future,1595319,4/1/17,us,United States
HUMBLE.,Kendrick Lamar,1594612,6/20/17,us,United States
Despacito - Remix,Luis Fonsi,1594521,5/29/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1591603,1/11/17,us,United States
DNA.,Kendrick Lamar,1590081,5/5/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1587455,2/1/17,us,United States
I'm the One,DJ Khaled,1585298,6/3/17,us,United States
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1583162,6/23/17,us,United States
Mask Off,Future,1582675,4/18/17,us,United States
DNA.,Kendrick Lamar,1580500,5/4/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1579039,5/10/17,us,United States
Shape of You,Ed Sheeran,1578630,2/14/17,us,United States
Shape of You,Ed Sheeran,1578343,2/18/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1570505,6/1/17,us,United States
Mask Off,Future,1570269,4/19/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1568387,1/29/17,us,United States
Mask Off,Future,1564234,5/12/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1562512,5/5/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1561814,6/3/17,us,United States
Passionfruit,Drake,1561782,4/1/17,us,United States
ELEMENT.,Kendrick Lamar,1559094,4/21/17,us,United States
Despacito - Remix,Luis Fonsi,1555627,6/18/17,us,United States
Despacito - Remix,Luis Fonsi,1555387,5/7/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1554966,1/10/17,us,United States
HUMBLE.,Kendrick Lamar,1553584,6/19/17,us,United States
LOVE. FEAT. ZACARI.,Kendrick Lamar,1550615,4/19/17,us,United States
HUMBLE.,Kendrick Lamar,1550230,6/21/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1549896,2/2/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1549253,6/15/17,us,United States
Mask Off,Future,1549006,4/3/17,us,United States
DUCKWORTH.,Kendrick Lamar,1546449,4/14/17,us,United States
LUST.,Kendrick Lamar,1543973,4/15/17,us,United States
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,1539247,4/20/17,us,United States
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,1538748,4/16/17,us,United States
Shape of You,Ed Sheeran,1537659,3/24/17,us,United States
Mask Off,Future,1537323,3/24/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1533867,5/27/17,us,United States
Shape of You,Ed Sheeran,1533332,1/11/17,us,United States
Shape of You,Ed Sheeran,1532772,1/9/17,us,United States
Despacito - Remix,Luis Fonsi,1532529,7/7/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1532139,5/25/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1530198,5/9/17,us,United States
Mask Off,Future,1529633,3/30/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1529596,6/16/17,us,United States
GOD.,Kendrick Lamar,1529024,4/14/17,us,United States
Mask Off,Future,1526312,5/5/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1520812,5/24/17,us,United States
Mask Off,Future,1520624,4/17/17,us,United States
Shape of You,Ed Sheeran,1520446,2/3/17,us,United States
Mask Off,Future,1520111,3/29/17,us,United States
Shape of You,Ed Sheeran,1517787,1/6/17,us,United States
Mask Off,Future,1517187,5/6/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1516312,5/4/17,us,United States
I'm the One,DJ Khaled,1515887,5/28/17,us,United States
Shape of You,Ed Sheeran,1512685,1/10/17,us,United States
Shape of You,Ed Sheeran,1512262,2/13/17,us,United States
I'm the One,DJ Khaled,1511888,5/29/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1510533,5/6/17,us,United States
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,1508755,6/24/17,us,United States
Despacito - Remix,Luis Fonsi,1508070,7/8/17,us,United States
Shape of You,Ed Sheeran,1506592,2/1/17,us,United States
Mask Off,Future,1504801,3/25/17,us,United States
Mask Off,Future,1502845,5/4/17,us,United States
Shape of You,Ed Sheeran,1500841,2/2/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1499075,4/21/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1497676,1/30/17,us,United States
XXX. FEAT. U2.,Kendrick Lamar,1496715,4/17/17,us,United States
YAH.,Kendrick Lamar,1493995,4/17/17,us,United States
Mask Off,Future,1493650,3/28/17,us,United States
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,1491901,6/16/17,us,United States
Mask Off,Future,1491075,4/2/17,us,United States
Shape of You,Ed Sheeran,1487316,1/27/17,us,United States
Despacito - Remix,Luis Fonsi,1483823,7/14/17,us,United States
Shape of You,Ed Sheeran,1481081,1/31/17,us,United States
Mask Off,Future,1479662,5/11/17,us,United States
Passionfruit,Drake,1477788,4/3/17,us,United States
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,1474995,6/15/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1472049,6/20/17,us,United States
Castle on the Hill,Ed Sheeran,1472037,1/6/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1470143,6/17/17,us,United States
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1469455,6/24/17,us,United States
Despacito - Remix,Luis Fonsi,1467399,7/15/17,us,United States
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,1466128,4/21/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1465579,1/9/17,us,United States
Despacito - Remix,Luis Fonsi,1464221,7/6/17,us,United States
HUMBLE.,Kendrick Lamar,1463528,6/22/17,us,United States
Shape of You,Ed Sheeran,1462685,3/25/17,us,United States
XXX. FEAT. U2.,Kendrick Lamar,1461913,4/18/17,us,United States
Shape of You,Ed Sheeran,1461471,1/12/17,us,United States
Despacito - Remix,Luis Fonsi,1460611,4/21/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1458196,5/8/17,us,United States
DNA.,Kendrick Lamar,1457032,5/6/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1454056,6/21/17,us,United States
HUMBLE.,Kendrick Lamar,1453258,6/18/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1453173,6/23/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1451345,6/22/17,us,United States
Despacito - Remix,Luis Fonsi,1449843,7/11/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1448723,4/13/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1448671,6/19/17,us,United States
LOVE. FEAT. ZACARI.,Kendrick Lamar,1442858,4/20/17,us,United States
Shape of You,Ed Sheeran,1442737,2/4/17,us,United States
Passionfruit,Drake,1442679,4/7/17,us,United States
Shape of You,Ed Sheeran,1441844,3/28/17,us,United States
Shape of You,Ed Sheeran,1437473,1/7/17,us,United States
DNA.,Kendrick Lamar,1436008,5/9/17,us,United States
BLOOD.,Kendrick Lamar,1435854,4/15/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1435412,4/20/17,us,United States
Mask Off,Future,1431944,5/10/17,us,United States
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,1430416,6/21/17,us,United States
Despacito - Remix,Luis Fonsi,1430239,7/10/17,us,United States
Shape of You,Ed Sheeran,1429810,2/27/17,us,United States
Mask Off,Future,1429118,3/27/17,us,United States
DNA.,Kendrick Lamar,1428542,5/12/17,us,United States
Mask Off,Future,1428074,5/9/17,us,United States
Passionfruit,Drake,1426463,4/2/17,us,United States
HUMBLE.,Kendrick Lamar,1426227,6/23/17,us,United States
Mask Off,Future,1423178,4/16/17,us,United States
Despacito - Remix,Luis Fonsi,1421707,7/12/17,us,United States
Despacito - Remix,Luis Fonsi,1420085,7/13/17,us,United States
Shape of You,Ed Sheeran,1417713,3/29/17,us,United States
YAH.,Kendrick Lamar,1415715,4/18/17,us,United States
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,1415143,6/20/17,us,United States
Shape of You,Ed Sheeran,1413661,3/31/17,us,United States
Portland,Drake,1412157,3/27/17,us,United States
Portland,Drake,1411330,3/25/17,us,United States
Mask Off,Future,1411238,3/10/17,us,United States
DNA.,Kendrick Lamar,1409611,5/10/17,us,United States
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,1408899,6/17/17,us,United States
Shape of You,Ed Sheeran,1407802,3/27/17,us,United States
Mask Off,Future,1407543,3/11/17,us,United States
Shape of You,Ed Sheeran,1407068,3/30/17,us,United States
LOVE. FEAT. ZACARI.,Kendrick Lamar,1404962,4/21/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1404157,4/14/17,us,United States
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,1402119,6/22/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1397847,6/24/17,us,United States
DNA.,Kendrick Lamar,1397347,5/8/17,us,United States
Shape of You,Ed Sheeran,1396777,1/30/17,us,United States
FEEL.,Kendrick Lamar,1395326,4/17/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1394828,4/18/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1391291,4/19/17,us,United States
Bounce Back,Big Sean,1390055,2/4/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1388685,7/14/17,us,United States
DNA.,Kendrick Lamar,1387086,5/11/17,us,United States
Portland,Drake,1385464,3/28/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1384849,5/28/17,us,United States
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1384524,7/15/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1382493,7/7/17,us,United States
Despacito - Remix,Luis Fonsi,1381039,7/9/17,us,United States
Mask Off,Future,1375989,5/8/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1375430,5/29/17,us,United States
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,1375074,6/19/17,us,United States
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1364749,7/14/17,us,United States
PRIDE.,Kendrick Lamar,1363272,4/17/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1361504,7/13/17,us,United States
Shape of You,Ed Sheeran,1359402,1/28/17,us,United States
Bounce Back,Big Sean,1357542,2/3/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1356385,7/8/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1353785,2/18/17,us,United States
Mask Off,Future,1352515,3/26/17,us,United States
Shape of You,Ed Sheeran,1351553,2/12/17,us,United States
Passionfruit,Drake,1349134,4/8/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1348460,4/7/17,us,United States
HUMBLE.,Kendrick Lamar,1348419,6/24/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1347652,5/7/17,us,United States
Fetish (feat. Gucci Mane),Selena Gomez,1347517,7/14/17,us,United States
Shape of You,Ed Sheeran,1346146,1/8/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1345883,7/15/17,us,United States
Portland,Drake,1345665,3/29/17,us,United States
Mask Off,Future,1344862,5/7/17,us,United States
FEAR.,Kendrick Lamar,1344470,4/15/17,us,United States
The Heart Part 4,Kendrick Lamar,1344265,3/24/17,us,United States
LOVE. FEAT. ZACARI.,Kendrick Lamar,1344025,4/16/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1343739,2/17/17,us,United States
Shape of You,Ed Sheeran,1341730,4/1/17,us,United States
XXX. FEAT. U2.,Kendrick Lamar,1338335,4/19/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1338271,6/18/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1332492,7/6/17,us,United States
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1330711,6/21/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1328631,1/6/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1328280,4/17/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1323789,7/11/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1322120,7/12/17,us,United States
FEEL.,Kendrick Lamar,1320248,4/18/17,us,United States
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1319475,7/7/17,us,United States
Passionfruit,Drake,1317686,4/13/17,us,United States
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1316194,6/22/17,us,United States
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1316099,7/13/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1314770,2/12/17,us,United States
Despacito - Remix,Luis Fonsi,1313006,7/16/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1311380,4/8/17,us,United States
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1309928,7/8/17,us,United States
1-800-273-8255,Logic,1307098,5/9/17,us,United States
Portland,Drake,1304803,3/31/17,us,United States
Shape of You,Ed Sheeran,1304568,3/26/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1303263,7/10/17,us,United States
1-800-273-8255,Logic,1303132,5/5/17,us,United States
1-800-273-8255,Logic,1300839,5/8/17,us,United States
iSpy (feat. Lil Yachty),KYLE,1299465,3/3/17,us,United States
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1297459,7/11/17,us,United States
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1296444,6/20/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1295592,1/5/17,us,United States
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1295069,7/12/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1293486,1/4/17,us,United States
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1293231,7/6/17,us,United States
Gyalchester,Drake,1291995,3/24/17,us,United States
Portland,Drake,1291481,3/30/17,us,United States
YAH.,Kendrick Lamar,1291060,4/16/17,us,United States
PRIDE.,Kendrick Lamar,1290530,4/18/17,us,United States
iSpy (feat. Lil Yachty),KYLE,1290253,3/10/17,us,United States
Shape of You,Ed Sheeran,1284291,4/3/17,us,United States
LUST.,Kendrick Lamar,1283352,4/17/17,us,United States
YAH.,Kendrick Lamar,1283276,4/19/17,us,United States
Shape of You,Ed Sheeran,1282031,4/7/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1281623,1/7/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1281589,4/15/17,us,United States
1-800-273-8255,Logic,1278490,5/10/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1278003,2/16/17,us,United States
Unforgettable,French Montana,1277544,7/14/17,us,United States
Passionfruit,Drake,1275793,4/14/17,us,United States
iSpy (feat. Lil Yachty),KYLE,1275426,3/4/17,us,United States
Mask Off,Future,1274674,3/12/17,us,United States
iSpy (feat. Lil Yachty),KYLE,1272104,3/11/17,us,United States
Unforgettable,French Montana,1271444,7/15/17,us,United States
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1265462,7/10/17,us,United States
Mask Off,Future,1265090,3/9/17,us,United States
DNA.,Kendrick Lamar,1262247,5/7/17,us,United States
Fake Love,Drake,1261267,1/12/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1260180,2/14/17,us,United States
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,1259395,7/7/17,us,United States
iSpy (feat. Lil Yachty),KYLE,1257512,3/31/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1257145,2/15/17,us,United States
XXX. FEAT. U2.,Kendrick Lamar,1255948,4/16/17,us,United States
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,1254578,6/18/17,us,United States
iSpy (feat. Lil Yachty),KYLE,1252737,3/25/17,us,United States
Something Just Like This,The Chainsmokers,1249925,4/7/17,us,United States
Mask Off,Future,1249813,5/26/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1247522,7/9/17,us,United States
iSpy (feat. Lil Yachty),KYLE,1247430,3/9/17,us,United States
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,1247313,7/6/17,us,United States
Shape of You,Ed Sheeran,1245745,1/29/17,us,United States
iSpy (feat. Lil Yachty),KYLE,1245172,4/14/17,us,United States
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1243089,7/16/17,us,United States
Fake Love,Drake,1242110,1/11/17,us,United States
iSpy (feat. Lil Yachty),KYLE,1241442,3/8/17,us,United States
That's What I Like,Bruno Mars,1237786,3/10/17,us,United States
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1234787,6/19/17,us,United States
1-800-273-8255,Logic,1234473,5/11/17,us,United States
iSpy (feat. Lil Yachty),KYLE,1233840,3/24/17,us,United States
iSpy (feat. Lil Yachty),KYLE,1233355,4/1/17,us,United States
XO TOUR Llif3,Lil Uzi Vert,1230583,7/16/17,us,United States
Shape of You,Ed Sheeran,1230182,4/14/17,us,United States
iSpy (feat. Lil Yachty),KYLE,1229841,3/7/17,us,United States
That's What I Like,Bruno Mars,1227966,3/11/17,us,United States
XXX. FEAT. U2.,Kendrick Lamar,1226710,4/20/17,us,United States
Free Smoke,Drake,1222064,3/24/17,us,United States
Shape of You,Ed Sheeran,1219716,4/8/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1218335,2/13/17,us,United States
LUST.,Kendrick Lamar,1217930,4/18/17,us,United States
Fake Love,Drake,1217137,1/6/17,us,United States
Shape of You,Ed Sheeran,1216448,4/2/17,us,United States
Blem,Drake,1215690,3/24/17,us,United States
Portland,Drake,1213496,3/26/17,us,United States
iSpy (feat. Lil Yachty),KYLE,1213147,3/30/17,us,United States
